Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author(s),Source,Abbreviated source title,Sponsor,Publisher/Repository,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Funding details,Funding text,Open Access type(s),Database,Copyright,Data Provider,,,,
Large-Scale Simulation of Quantum Computational Chemistry on a New Sunway Supercomputer,20220289507,,"Shang, Honghui (1); Shen, Li (2); Fan, Yi (2); Xu, Zhiqian (1); Guo, Chu (4, 5); Liu, Jie (3); Zhou, Wenhao (6); Ma, Huan (2); Lin, Rongfen (7); Yang, Yuling (6); Li, Fang (6); Wang, Zhuoya (8); Zhang, Yunquan (1); Li, Zhenyu (2) ","(1) Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China (2) University of Science and Technology of China, Hefei, China (3) Hefei National Laboratory, University of Science and Technology of China, Anhui, Hefei; 230088, China (4) Henan Key Laboratory of Quantum Information and Cryptography, Henan, Zhengzhou; 450000, China (5) Hunan Normal University, Changsha; 410081, China (6) National Supercomputing Center in Wuxi, Wuxi, China (7) Department of Computer Science and Technology, Tsinghua University, Beijing, China (8) Pilot National Laboratory for Marine Science and Technology, Qingdao, China ","Shang, Honghui(shanghonghui@ict.ac.cn); Guo, Chu(guochu604b@gmail.com); Liu, Jie(liujie86@ustc.edu.cn)",arXiv,arXiv,,arXiv,,,,2022-07-08,,,2022,English,,23318422,,10.48550/arXiv.2207.03711,,,,,,,Preprint (PP),"Quantum computational chemistry (QCC) is the use of quantum computers to solve problems in computational quantum chemistry. We develop a high performance variational quantum eigensolver (VQE) simulator for simulating quantum computational chemistry problems on a new Sunway supercomputer. The major innovations include: (1) a Matrix Product State (MPS) based VQE simulator to reduce the amount of memory needed and increase the simulation efficiency; (2) a combination of the Density Matrix Embedding Theory with the MPS-based VQE simulator to further extend the simulation range; (3) A three-level parallelization scheme to scale up to 20 million cores; (4) Usage of the Julia script language as the main programming language, which both makes the programming easier and enables cutting edge performance as native C or Fortran; (5) Study of real chemistry systems based on the VQE simulator, achieving nearly linearly strong and weak scaling. Our simulation demonstrates the power of VQE for large quantum chemistry systems, thus paves the way for large-scale VQE experiments on near-term quantum computers. © 2022, CC BY-NC-ND.",57,Simulators,C (programming language) - Computation theory - Computational chemistry - Computer simulation languages - FORTRAN (programming language) - Quantum chemistry - Supercomputers,Computational quantum chemistry - Density matrix - Eigensolvers - Large scale simulations - Matrix embedding - Matrix product state - Performance - Quanta computers - Simulation efficiency - State based,"721.1 Computer Theory, Includes Formal Logic, Automata Theory, Switching Theory, Programming Theory - 722.4 Digital Computers and Systems - 723.1.1 Computer Programming Languages - 801 Chemistry - 801.4 Physical Chemistry - 921.6 Numerical Methods",,,,Compendex,"Compilation and indexing terms, Copyright 2024 Elsevier Inc.",Engineering Village,,,,
Divide-and-conquer variational quantum algorithms for large-scale electronic structure simulations,20220345893,,"Ma, Huan (1); Fan, Yi (2); Liu, Jie (1); Shang, Honghui (3); Li, Zhenyu (1, 2); Yang, Jinlong (1, 2) ","(1) Hefei National Laboratory, University of Science and Technology of China, Hefei; 230088, China (2) Hefei National Research Center for Physical Sciences at the Microscale, University of Science and Technology of China, Hefei; 230026, China (3) State Key Laboratory of Computer Architecture, Institute of Computing Technology, Chinese Academy of Sciences, Beijing; 100190, China ","Liu, Jie(liujie86@ustc.edu.cn)",arXiv,arXiv,,arXiv,,,,2022-08-31,,,2022,English,,23318422,,10.48550/arXiv.2208.14789,,,,,,,Preprint (PP),"Exploring the potential application of quantum computers in material design and drug discovery has attracted a lot of interest in the age of quantum computing. However, the quantum resource requirement for solving practical electronic structure problems are far beyond the capacity of near-term quantum devices. In this work, we integrate the divide-and-conquer (DC) approaches into the variational quantum eigensolver (VQE) for large-scale quantum computational chemistry simulations. Two popular divide-and-conquer schemes, including many-body expansion (MBE) fragmentation theory and density matrix embedding theory (DMET), are employed to divide complicated problems into many small parts that are easy to implement on near-term quantum computers. Pilot applications of these methods to systems consisting of tens of atoms are performed with adaptive VQE algorithms. This work should encourage further studies of using the philosophy of DC to solve electronic structure problems on quantum computers. © 2022, CC BY.",60,Electronic structure,Computation theory - Computational chemistry - Quantum computers - Quantum theory,Design discoveries - Divide-and-conquer - Drug discovery - Electronic.structure - Large-scales - Materials design - Quanta computers - Quantum algorithms - Quantum Computing - Structure simulations,"721.1 Computer Theory, Includes Formal Logic, Automata Theory, Switching Theory, Programming Theory - 722 Computer Systems and Equipment - 801 Chemistry - 921.6 Numerical Methods - 931.4 Quantum Theory; Quantum Mechanics",,,,Compendex,"Compilation and indexing terms, Copyright 2024 Elsevier Inc.",Engineering Village,,,,
Differentiable matrix product states for simulating variational quantum computational chemistry,20220428862,,"Guo, Chu (1); Fan, Yi (2); Xu, Zhiqian (3); Shang, Honghui (4) ","(1) Henan Key Laboratory of Quantum Information and Cryptography, Henan, Zhengzhou; 450000, China (2) Hefei National Laboratory for Physical Sciences at the Microscale, University of Science and Technology of China, Anhui, Hefei; 230026, China (3) Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China (4) Key Laboratory of Precision and Intelligent Chemistry, University of Science and Technology of China, Anhui, Hefei; 230026, China ",,arXiv,arXiv,,arXiv,,,,2022-11-15,,,2022,English,,23318422,,10.48550/arXiv.2211.07983,,,,,,,Preprint (PP),"Quantum Computing is believed to be the ultimate solution for quantum chemistry problems. Before the advent of large-scale, fully fault-tolerant quantum computers, the variational quantum eigensolver (VQE) is a promising heuristic quantum algorithm to solve real world quantum chemistry problems on near-term noisy quantum computers. Here we propose a highly parallelizable classical simulator for VQE based on the matrix product state representation of quantum state, which significantly extend the simulation range of the existing simulators. Our simulator seamlessly integrates the quantum circuit evolution into the classical auto-differentiation framework, thus the gradients could be computed efficiently similar to the classical deep neural network, with a scaling that is independent of the number of variational parameters. As applications, we use our simulator to study commonly used small molecules such as HF, HCl, LiH and H2O, as well as larger molecules CO2, BeH2 and H4 with up to 40 qubits. The favorable scaling of our simulator against the number of qubits and the number of parameters could make it an ideal testing ground for near-term quantum algorithms and a perfect benchmarking baseline for oncoming large scale VQE experiments on noisy quantum computers. © 2022, CC BY.",66,Matrix algebra,Chlorine compounds - Deep neural networks - Lithium compounds - Molecules - Qubits,Differentiable matrices - Eigensolvers - Fault-tolerant - Large-scales - Matrix product state - Quanta computers - Quantum algorithms - Quantum Computing - Real-world - Scalings,"461.4 Ergonomics and Human Factors Engineering - 741 Light, Optics and Optical Devices - 761 Nanotechnology - 921.1 Algebra - 931.3 Atomic and Molecular Physics",,,,Compendex,"Compilation and indexing terms, Copyright 2024 Elsevier Inc.",Engineering Village,,,,
Coupled Electronic and Anharmonic Structural Dynamics for Carrier Self-Trapping in Photovoltaic Antimony Chalcogenides,2.02226E+13,,"Tao, Weijian (1); Zhu, Leilei (2); Li, Kanghua (3); Chen, Chao (3); Chen, Yuzhong (1); Li, Yujie (1); Li, Xufeng (1); Tang, Jiang (3); Shang, Honghui (2); Zhu, Haiming (1, 4) ","(1) State Key Laboratory of Modern Optical Instrumentation, Key Laboratory of Excited-State Materials of Zhejiang Province, Department of Chemistry, Zhejiang University, Zhejiang, Hangzhou; 310027, China (2) State Key Laboratory of Computer Architecture, Institute of Computing Technology, Chinese Academy of Sciences, Beijing; 100190, China (3) Wuhan National Laboratory for Optoelectronics and School of Optical and Electronic Information, Huazhong University of Science and Technology, Hubei; 430074, China (4) Zhejiang University-Hangzhou Global Scientific and Technological Innovation Center, Hangzhou; 310014, China ","Zhu, Haiming(hmzhu@zju.edu.cn); Shang, Honghui(shanghonghui@ict.ac.cn)",Advanced Science,Adv. Sci.,,John Wiley and Sons Inc,9,25,,2022-09-05,,,2022,English,,21983844,,10.1002/advs.202202154,2202154,,,,,,Journal article (JA),"V–VI antimony chalcogenide semiconductors have shown exciting potentials for thin film photovoltaic applications. However, their solar cell efficiencies are strongly hampered by anomalously large voltage loss (>0.6 V), whose origin remains controversial so far. Herein, by combining ultrafast pump–probe spectroscopy and density functional theory (DFT) calculation, the coupled electronic and structural dynamics leading to excited state self-trapping in antimony chalcogenides with atomic level characterizations is reported. The electronic dynamics in Sb2Se3 indicates a ≈20 ps barrierless intrinsic self-trapping, with electron localization and accompanied lattice distortion given by DFT calculations. Furthermore, impulsive vibrational coherences unveil key Sb-Se vibrational modes and their real-time interplay that drive initial excited state relaxation and energy dissipation toward stabilized small polaron through electron–phonon and subsequent phonon–phonon coupling. This study's findings provide conclusive evidence of carrier self-trapping arising from intrinsic lattice anharmonicity and polaronic effect in antimony chalcogenides and a new understanding on the coupled electronic and structural dynamics for redefining excited state properties in soft semiconductor materials. © 2022 The Authors. Advanced Science published by Wiley-VCH GmbH.",60,Chalcogenides,Antimony - Antimony compounds - Density functional theory - Dynamics - Electron-phonon interactions - Electrons - Energy dissipation - Excited states - Selenium compounds - Semiconductor materials - Solar cells - Structural dynamics,Anharmonic - Antimony chalcogenides - Carrier self-trapping - Chalcogenide semiconductors - Density-functional theory calculations - Photovoltaic applications - Photovoltaics - Self-trapping - Solar cell efficiencies - Thin film photovoltaics,408 Structural Design - 525.4 Energy Losses (industrial and residential) - 546.4 Antimony and Alloys - 702.3 Solar Cells - 712.1 Semiconducting Materials - 804.2 Inorganic Compounds - 922.1 Probability Theory - 931.3 Atomic and Molecular Physics - 931.4 Quantum Theory; Quantum Mechanics - 933 Solid State Physics,"Number: 22003073,22022305,61725401,61904058,62174064, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 2016YFA0200604,2017YFA0204904,2017YFA0207700, Acronym: NKRDPC, Sponsor: National Key Research and Development Program of China; ","W.T. and L.Z. contributed equally to this work. The authors thank the financial support from the National Natural Science Foundation of China (22022305, 22003073, 61904058, 61725401, and 62174064), National Key Research and Development Program of China (2017YFA0207700, 2016YFA0200604, and 2017YFA0204904), and National Supercomputing Center in Jinan for providing computing resources and helpful technical support.","All Open Access, Green",Compendex,"Compilation and indexing terms, Copyright 2024 Elsevier Inc.",Engineering Village,,,,
Ultrafast Spontaneous Localization of a Jahn-Teller Exciton Polaron in Two-Dimensional Semiconducting CrI3by Symmetry Breaking,2.02246E+13,,"Li, Xufeng (1); Wang, Aolei (2); Chen, Hailong (4); Tao, Weijian (1); Chen, Zeng (1); Zhang, Chi (1); Li, Yujie (1); Zhang, Yiran (1); Shang, Honghui (2); Weng, Yu-Xiang (4); Zhao, Jin (2); Zhu, Haiming (1, 3) ","(1) State Key Laboratory of Modern Optical Instrumentation, Key Laboratory of Excited-State Materials of Zhejiang Province, Department of Chemistry, Zhejiang University, Zhejiang, Hangzhou; 310027, China (2) Department of Physics, CAS Key Laboratory of Strongly-Coupled Quantum Matter Physics, ICQD/Hefei National Laboratory for Physical Sciences at Microscale, University of Science and Technology of China, Anhui, Hefei; 230026, China (3) ZJU-Hangzhou Global Scientific and Technological Innovation Center, Zhejiang, Hangzhou; 311200, China (4) Beijing National Laboratory for Condensed Matter Physics, The Laboratory of Soft Matter Physics, Institute of Physics, Chinese Academy of Sciences, Beijing; 100190, China ","Zhu, Haiming(hmzhu@zju.edu.cn); Zhao, Jin(zhaojin@ustc.edu.cn)",Nano Letters,Nano Lett.,,American Chemical Society,22,21,8755-8762,2022-11-09,,,2022,English,15306984,15306992,,10.1021/acs.nanolett.2c03689,,,,,,NALEFD,Journal article (JA),"The excited state species and properties in low-dimensional semiconductors can be completely redefined by electron-lattice coupling or a polaronic effect. Here, by combining ultrafast broadband pump-probe spectroscopy and first-principles GW and Bethe-Salpeter equation calculations, we show semiconducting CrI3as a prototypical 2D polaronic system with characteristic Jahn-Teller exciton polaron induced by symmetry breaking. A photogenerated electron and hole in CrI3localize spontaneously in ∼0.9 ps and pair geminately to a Jahn-Teller exciton polaron with elongated Cr-I octahedra, large binding energy, and an unprecedentedly small exciton-exciton annihilation rate constant (∼10-20cm3s-1). Coherent phonon dynamics indicates the localization is mainly triggered by the coherent nuclear vibration of the I-Cr-I out-of-plane stretch mode at 128.5 ± 0.1 cm-1. The excited state Jahn-Teller exciton polaron in CrI3broadens the realm of 2D polaron systems and reveals the decisive role of coupled electron-lattice motion on excited state properties and exciton physics in 2D semiconductors. © 2022 American Chemical Society. All rights reserved.",53,Calculations,Annihilation - Binding energy - Chromium compounds - Excited states - Excitons - Jahn-Teller effect - Phonons - Polarons - Rate constants,Coherent phonons - Excited-states - Exciton polaron - Jahn-Teller - Localisation - Low-Dimensional Semiconductors - Property - Symmetry breakings - Two-dimensional - Ultra-fast,801.4 Physical Chemistry - 802.2 Chemical Reactions - 921 Mathematics - 931.3 Atomic and Molecular Physics - 931.4 Quantum Theory; Quantum Mechanics - 932.1 High Energy Physics - 933.1.1 Crystal Lattice,"Number: -, Acronym: BER, Sponsor: Biological and Environmental Research; Number: 11620101003,11974322,21773208,22022305, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: XDB30000000, Acronym: CAS, Sponsor: Chinese Academy of Sciences; Number: 2017YFA0204904,2017YFA0207700, Acronym: NKRDPC, Sponsor: National Key Research and Development Program of China; ","The authors thank the financial support from the National Natural Science Foundation of China (22022305 and 21773208, 11620101003, 11974322), the Strategic Priority Research Program of Chinese Academy of Sciences (No. XDB30000000), and the National Key Research and Development Program of China (2017YFA0207700, 2017YFA0204904). Calculations were performed at Qingdao Supercomputing and Big Data Center and Environmental Molecular Sciences Laboratory at the Pacific Northwest National Laboratory, a user facility sponsored by the US Department of Energy Office of Biological and Environmental Research.",,Compendex,"Compilation and indexing terms, Copyright 2024 Elsevier Inc.",Engineering Village,,,,
Scaling Poisson Solvers on Many Cores via MMEwald,2.02153E+13,,"Wu, Mingchuan (1); Wu, Yangjun (1); Shang, Honghui (1); Liu, Ying (1); Cui, Huimin (1); Li, Fang (2); Duan, Xiaohui (3); Zhang, Yunquan (1); Feng, Xiaobing (1) ","(1) State Key Laboratory of Computer Architecture, Institute of Computing Technology, Chinese Academy of Sciences, Beijing; 100190, China (2) National Supercomputer Center in Wuxi, Wuxi; 214072, China (3) Department of Computer Science and Technology, Tsinghua University, Beijing; 100084, China ","Shang, Honghui(shanghui.ustc@gmail.com); Liu, Ying(liuying2007@ict.ac.cn)",IEEE Transactions on Parallel and Distributed Systems,IEEE Trans Parallel Distrib Syst,,IEEE Computer Society,33,8,1888-1901,2022-08-01,,,2022,English,10459219,15582183,,10.1109/TPDS.2021.3127138,,,,,,ITDSEO,Journal article (JA),"The Poisson solver for the calculation of the electrostatic potential is an essential primitive in quantum mechanics calculations. In this article, we adopt the Ewald method and propose a highly-optimized and scalable framework for Poisson solver, MMEwald, on the new generation Sunway supercomputer, capable of utilizing the collection of 390-core accelerators it uses. The MMEwald is based on a grid adapted cut-plane approach to partition the points into batches and distribute the batch to the processors. Furthermore, we propose a set of architecture-specific optimizations to efficiently utilize the memory bandwidth and computation capacity of the supercomputer. Experimental results demonstrate the efficiency of the MMEwald in providing strong and weak scaling performance. © 1990-2012 IEEE.",36,Supercomputers,Quantum theory,Architecture-specific optimization - Electrostatic potentials - Ewald's method - Many-core - Many-core processors - Memory bandwidths - Memory computations - Optimisations - Poisson solvers - Scalings,722.4 Digital Computers and Systems - 931.4 Quantum Theory; Quantum Mechanics,,,,Compendex,"Compilation and indexing terms, Copyright 2024 Elsevier Inc.",Engineering Village,,,,
The Sternheimer approach to all-electron real-space density-functional perturbation theory with atomic basis set,2.02103E+13,,"Shang, Honghui (1) ","(1) State Key Laboratory of Computer Architecture, Institute of Computing Technology, Chinese Academy of Sciences, Beijing; 100190, China ","Shang, Honghui(shanghui.ustc@gmail.com)",AIP Advances,AIP Adv.,,American Institute of Physics Inc.,11,1,,2021-01-01,,,2021,English,,21583226,,10.1063/5.0029361,15224,,,,,,Journal article (JA),"We present an efficient perturbative method to get the response density matrix using localized non-orthogonal basis sets. This scheme is based on the solution of the coupled perturbed self-consistent field equation with the Sternheimer approach, which only requires the occupied states and avoids a sum over unoccupied states. We present a complete derivation of the Sternheimer approach to perturbation theory within the framework of the linear combination of atomic orbitals. To demonstrate the capabilities of this method, we have implemented it in the all-electron Fritz Haber Institute ab initio molecular simulation package and applied it to benchmark molecules. For the response properties with respect to the atomic displacement and to the homogeneous electric field, the results are in excellent agreement with those of the previous traditional method and fully validate this Sternheimer approach. © 2021 Author(s).",22,Perturbation techniques,Density functional theory - Electric fields - Atoms - Quantum chemistry,Atomic displacement - Homogeneous electric field - Linear combination of atomic orbitals - Molecular simulations - Perturbation theory - Perturbative method - Response properties - Self-consistent field,701.1 Electricity: Basic Concepts and Phenomena - 801.4 Physical Chemistry - 921 Mathematics - 922.1 Probability Theory - 931.3 Atomic and Molecular Physics - 931.4 Quantum Theory; Quantum Mechanics,"Number: 22003073, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ",This work was supported by the NSFC (Grant No. 22003073) and CARCH (4205).,"All Open Access, Gold",Compendex,"Compilation and indexing terms, Copyright 2024 Elsevier Inc.",Engineering Village,,,,
Efficient parallel linear scaling method to get the response density matrix in all-electron real-space density-functional perturbation theory,2.02041E+13,,"Shang, Honghui (1); Liang, WanZhen (2, 3, 4); Zhang, Yunquan (1); Yang, Jinlong (5, 6) ","(1) State Key Laboratory of Computer Architecture, Institute of Computing Technology, Chinese Academy of Sciences, Beijing; 100190, China (2) State Key Laboratory of Physical Chemistry of Solid Surfaces, Xiamen University, Xiamen; Fujian; 361005, China (3) Collaborative Innovation Center of Chemistry for Energy Materials, Xiamen University, Xiamen; Fujian; 361005, China (4) Fujian Provincial Key Laboratory of Theoretical and Computational Chemistry, and Department of Chemistry, College of Chemistry and Chemical Engineering, Xiamen University, Xiamen; Fujian; 361005, China (5) Hefei National Laboratory for Physical Sciences at Microscale, Department of Chemical Physics, University of Science and Technology of China, Hefei; Anhui; 230026, China (6) Synergetic Innovation Center of Quantum Information and Quantum Physics, University of Science and Technology of China, Hefei; Anhui; 230026, China ","Shang, Honghui(shanghui.ustc@gmail.com)",Computer Physics Communications,Comput Phys Commun,,"Elsevier B.V., Netherlands",258,,,2021-01-01,,,2021,English,104655,,,10.1016/j.cpc.2020.107613,107613,,,,,CPHCBZ,Journal article (JA),"The real-space density-functional perturbation theory (DFPT) for the computations of the response properties with respect to the atomic displacement and homogeneous electric field perturbation has been recently developed and implemented into the all-electron, numeric atom-centered orbitals electronic structure package FHI-aims. It is found that the bottleneck for large scale applications is the computation of the response density matrix, which scales as O(N3). Here for the response properties with respect to the homogeneous electric field, we present an efficient parallel linear scaling algorithm for the response density matrix calculation. Our scheme is based on the second-order trace-correcting purification and the parallel sparse matrixmatrix multiplication algorithms. The new scheme reduces the formal scaling from O(N3) to O(N), and shows good parallel scalability over tens of thousands of cores. As demonstrated by extensive validation, we achieve a rapid computation of accurate polarizabilities using DFPT. Finally, the computational efficiency of this scheme has been illustrated by making the scaling tests and scalability tests on massively parallel computer systems. © 2020 Elsevier B.V.",55,Density functional theory,Computation theory - Matrix algebra - Quantum chemistry - Atoms - Probability density function - Computational efficiency - Electronic structure - Electric fields - Perturbation techniques - Scalability,Homogeneous electric field - Large-scale applications - Linear scaling algorithm - Linear scaling method - Massively parallel computers - Matrix multiplication algorithm - Parallel scalability - Response properties,"701.1 Electricity: Basic Concepts and Phenomena - 721.1 Computer Theory, Includes Formal Logic, Automata Theory, Switching Theory, Programming Theory - 801.4 Physical Chemistry - 921 Mathematics - 921.1 Algebra - 922.1 Probability Theory - 931.3 Atomic and Molecular Physics - 931.4 Quantum Theory; Quantum Mechanics - 961 Systems Science","Number: XDC01040100, Acronym: CAS, Sponsor: Chinese Academy of Sciences; Number: 2018YFB0704002,CARCH4205, Acronym: NKRDPC, Sponsor: National Key Research and Development Program of China; ","This work was supported by National Key Research and Development Program of China (Grant No. 2018YFB0704002), CARCH4205 , and by the Strategic Priority Research Program of Chinese Academy of Sciences (Grant No. XDC01040100 ). H.S. acknowledges Victor Wen-zhe Yu for inspiring discussions. H.S. thanks the Tianhe-2 Supercomputer Center for computational resources.","All Open Access, Green",Compendex,"Compilation and indexing terms, Copyright 2024 Elsevier Inc.",Engineering Village,,,,
Tensorkmc: Kinetic monte carlo simulation of 50 trillion atoms driven by deep learning on a new generation of sunway supercomputer,2.02148E+13,,"Shang, Honghui (1); Chen, Xin (2); Gao, Xingyu (2); Lin, Rongfen (3); Wang, Lifang (2); Li, Fang (4); Xiao, Qian (4); Xu, Lei (1); Sun, Qiang (4); Zhu, Leilei (1); Wang, Fei (5); Zhang, Yunquan (1); Song, Haifeng (2) ","(1) SKL of Computer Architecture, Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China (2) Institute of Applied Physics and Computational Mathematics, Beijing, China (3) Department of Computer Science and Technology, Tsinghua University, Wuxin, China (4) National Supercomputer Center in Wuxi, Wuxi, China (5) Department of Computer Science and Technology, Tsinghua University, Beijing, China ","Song, Haifeng(song_haifeng@iapcm.ac.cn)","International Conference for High Performance Computing, Networking, Storage and Analysis, SC","Int. Conf. High Perfor. Comput., Networking, Storage Analysis, SC",ACM s Special Interest Group SIGHPC; Association for Computing Machinery (ACM); IEEE Computer Society; IEEE s Technical Committee on High Performance Computing (TCHPC),IEEE Computer Society,,,,2021-11-14,"Proceedings of SC 2021: The International Conference for High Performance Computing, Networking, Storage and Analysis: Science and Beyond",1 of 1,2021,English,21674329,21674337,9.78145E+12,10.1145/3458817.3476174,,"33rd International Conference for High Performance Computing, Networking, Storage and Analysis: Science and Beyond, SC 2021","November 14, 2021 - November 19, 2021","Virtual, Online, United states",174017,,Conference article (CA),"The atomic kinetic Monte Carlo method plays an important role in multi-scale physical simulations because it bridges the micro and macro worlds. However, its accuracy is limited by empirical potentials.We therefore propose herein a triple-encoding algorithm and vacancy-cache mechanism to efficiently integrate ab initio neural network potentials (NNPs) with AKMC and implement them in our TensorKMC codes. We port our program to SW26010-pro and innovate a fast feature operator and a big fusion operator for the NNPs for fully utilizing the powerful heterogeneous computing units of the new-generation Sunway supercomputer. We further optimize memory usage. With these improvements, TensorKMC can simulate up to 54 trillions of atoms and achieve excellent strong and weak scaling performance up to 27,456,000 cores. © 2021 IEEE Computer Society. All rights reserved.",63,Supercomputers,Kinetics - Intelligent systems - Monte Carlo methods - Atoms - Deep learning,Atomic kinetics - Kinetic Monte Carlo - Kinetic Monte Carlo methods - Kinetic monte carlo simulation - Many-core processors - Micro and macro - Multi-scales - Neural network potential - Neural-networks - Physical simulation,"461.4 Ergonomics and Human Factors Engineering - 631.1 Fluid Flow, General - 722.4 Digital Computers and Systems - 723.4 Artificial Intelligence - 922.2 Mathematical Statistics - 931 Classical Physics; Quantum Theory; Relativity - 931.3 Atomic and Molecular Physics","Number: TZ2018002, Acronym: -, Sponsor: -; Number: 12004046, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 2016YFB0201203, Acronym: NKRDPC, Sponsor: National Key Research and Development Program of China; Number: TZZT2019, Acronym: -, Sponsor: Science Challenge Project; ","This work is supported by the National Key Research and Development Program of China under Grant No. 2016YFB0201203, the Science Challenge Project under Grant No. TZZT2019, the State Key Laboratory of Computer Architecture Foundation under Grant No. CARCH 4205, CARCH 4411, the Science Challenge Project under Grant No. TZ2018002 and the National Natural Science Foundation of China under Grant No. 12004046.",,Compendex,"Compilation and indexing terms, Copyright 2024 Elsevier Inc.",Engineering Village,,,,
Capturing the Electron-Phonon Renormalization in Molecules from First-Principles,2.02118E+13,,"Shang, Honghui (1); Yang, Jinlong (2) ","(1) State Key Laboratory of Computer Architecture, Institute of Computing Technology, Chinese Academy of Sciences, Beijing; 100190, China (2) Hefei National Laboratory for Physical Sciences at Microscale, Department of Chemical Physics, Synergetic Innovation Center of Quantum Information and Quantum Physics, University of Science and Technology of China, Hefei, Anhui; 230026, China ","Shang, Honghui(shanghui.ustc@gmail.com)",Journal of Physical Chemistry A,J Phys Chem A,,American Chemical Society,125,12,2682-2689,2021-04-01,,,2021,English,10895639,15205215,,10.1021/acs.jpca.0c10897,,,,,,JPCAFH,Journal article (JA),"Since the interaction between electrons and atomic nuclei can affect the electronic structure, in recent years, first-principles-based electron-phonon renormalization methods have been applied in the condensed matter physics community to account for the influence of the electron-phonon coupling in solid systems. However, little is yet known about the behavior and trends of the electron-phonon renormalization in the molecules. In this work, the method for the electron-phonon renormalization in molecules has been derived, using which, we exhaustively investigate the zero-point renormalization in 32 molecules with three different density functions. We find that the renormalization of the highest occupied molecular orbital-lowest unoccupied molecular orbital gap due to electron-vibration coupling does not relate to the atomic masses but quite relates to the electronic structure properties of the molecules. © 2021 The Authors. Published by American Chemical Society.",55,Molecules,Molecular orbitals - Electron correlations - Electronic structure - Electrons - Electron-phonon interactions,Different densities - Electron phonon - Electron phonon couplings - Electron-vibration couplings - First principles - Highest occupied molecular orbital - Lowest unoccupied molecular orbital gap - Renormalization methods,801.4 Physical Chemistry - 931.3 Atomic and Molecular Physics - 931.4 Quantum Theory; Quantum Mechanics - 933 Solid State Physics,"Number: 22003073, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was supported by the National Natural Science Foundation of China (grant no. 22003073), CARCH 4205, and CARCH 4411.",,Compendex,"Compilation and indexing terms, Copyright 2024 Elsevier Inc.",Engineering Village,,,,
